trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
48,0,48,0,10,81.70192720799969,81.70192720799969,0.014934666999579349,[0.49333333333333335],[-0.05444444444444444],[1],[0],[0],[1.1493609999997716],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
49,0,49,0,5,82.86229379100041,82.86229379100041,0.008828625000205648,[-0.39111111111111113],[-0.3],[1],[0],[0],[1.1225116670002535],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
50,0,50,0,5,83.99779162499999,83.99779162499999,0.009522332999949867,[-0.24555555555555555],[0.015555555555555555],[1],[0],[0],[1.185739458000171],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
51,0,51,0,5,85.19587954100007,85.19587954100007,0.009253290999367891,[-0.1111111111111111],[0.10777777777777778],[1],[0],[0],[0.8553237919995809],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
52,0,52,0,10,86.07426295799996,86.07426295799996,0.01808466700003919,[-0.4811111111111111],[-0.23222222222222222],[1],[0],[0],[1.0771798750001835],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
53,0,53,0,10,87.16905962500005,87.16905962500005,0.015487166999264446,[-0.38555555555555554],[0.03666666666666667],[1],[0],[0],[1.2148817919996873],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
54,0,54,0,10,88.4019119579998,88.4019119579998,0.014813124999818683,[0.008888888888888889],[-0.13555555555555557],[1],[0],[0],[1.0157730840001022],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
55,0,55,0,10,89.43654079099997,89.43654079099997,0.015789458999279304,[0.36],[-0.05333333333333334],[1],[0],[0],[0.8648365409999315],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
56,0,56,0,5,90.31125470799998,90.31125470799998,0.008517416000358935,[-0.22],[0.34],[1],[0],[0],[1.5566786250001314],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
57,0,57,0,5,91.88157720799973,91.88157720799973,0.009704834000331175,[-0.43],[-0.04777777777777778],[1],[0],[0],[1.0703924159997769],['target'],278004,001,2022-09-16_11h48.57.323,lab psych tut 3,2022.2.4,59.688946098977496,
